id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,0,0,0,0,0,32,12,0,0
125,0,0,12,33,1,6,11,0,0
123,12,0,13,33,0,6,10,0,0
41,25,0,11,32,1,7,10,0,0
40,36,0,11,32,1,7,10,0,0
36,47,0,18,31,2,6,18,0,0
124,65,0,6,31,2,6,8,0,0
93,71,0,10,31,0,7,9,0,0
91,81,0,10,31,2,7,9,0,0
47,91,0,16,30,2,6,17,0,0
106,107,0,12,30,0,9,12,0,0
92,119,0,17,29,1,7,16,0,0
37,136,0,25,28,2,7,25,0,0
81,161,0,25,27,1,9,24,0,0
64,186,0,26,26,1,9,26,0,0
121,212,0,18,26,1,15,17,0,0
113,230,0,16,26,1,16,16,0,0
112,246,0,16,26,2,16,16,0,0
108,262,0,7,26,2,9,9,0,0
103,269,0,17,26,1,16,16,0,0
102,286,0,16,26,2,8,13,0,0
80,302,0,20,26,0,9,18,0,0
35,322,0,27,25,0,10,25,0,0
57,349,0,18,25,1,10,18,0,0
116,367,0,14,25,2,9,14,0,0
107,381,0,16,25,2,9,16,0,0
105,397,0,6,25,2,9,7,0,0
104,403,0,16,25,2,9,17,0,0
100,419,0,17,25,0,9,16,0,0
98,436,0,17,25,2,9,17,0,0
82,453,0,20,25,1,9,19,0,0
78,473,0,21,25,1,9,21,0,0
74,494,0,22,25,-1,10,17,0,0
66,516,0,18,25,1,9,18,0,0
65,534,0,22,25,0,9,20,0,0
38,556,0,23,24,1,10,22,0,0
63,579,0,16,24,0,10,14,0,0
33,595,0,7,24,2,10,8,0,0
48,602,0,20,24,0,10,18,0,0
56,622,0,18,24,2,10,18,0,0
55,640,0,19,24,0,10,18,0,0
54,659,0,17,24,2,9,18,0,0
53,676,0,17,24,2,10,18,0,0
52,693,0,19,24,1,10,18,0,0
51,712,0,15,24,3,10,18,0,0
50,727,0,17,24,3,10,18,0,0
49,744,0,12,24,1,10,11,0,0
89,756,0,20,24,0,10,18,0,0
88,776,0,21,24,2,10,20,0,0
87,797,0,33,24,0,10,31,0,0
86,830,0,22,24,0,10,20,0,0
85,852,0,20,24,2,10,21,0,0
84,872,0,20,24,0,10,18,0,0
83,892,0,18,24,2,10,18,0,0
79,910,0,23,24,1,10,23,0,0
77,933,0,27,24,1,10,26,0,0
76,960,0,17,24,1,10,16,0,0
75,977,0,19,24,1,10,18,0,0
72,996,0,21,24,1,10,19,0,0
71,0,33,22,24,1,10,21,0,0
70,22,33,16,24,1,10,16,0,0
68,38,33,22,24,0,10,20,0,0
67,60,33,19,24,1,10,18,0,0
90,79,33,22,23,1,11,21,0,0
73,101,33,14,23,1,10,14,0,0
69,115,33,17,23,1,10,17,0,0
59,132,33,8,20,3,17,11,0,0
120,140,33,18,20,1,15,17,0,0
43,158,33,17,19,1,16,17,0,0
115,175,33,15,19,0,15,13,0,0
114,190,33,16,19,1,15,14,0,0
111,206,33,17,19,1,16,15,0,0
109,223,33,24,19,1,15,23,0,0
99,247,33,16,19,1,15,15,0,0
62,263,33,14,18,1,16,14,0,0
60,277,33,14,18,1,16,13,0,0
122,291,33,19,18,0,16,17,0,0
119,310,33,24,18,1,16,23,0,0
118,334,33,16,18,0,16,14,0,0
110,350,33,15,18,2,16,16,0,0
101,365,33,18,18,1,16,16,0,0
97,383,33,18,18,1,16,17,0,0
58,401,33,7,17,2,17,9,0,0
117,408,33,18,17,1,16,16,0,0
42,426,33,16,15,1,5,15,0,0
61,442,33,17,11,1,20,15,0,0
44,459,33,8,11,1,27,8,0,0
39,467,33,6,11,1,7,6,0,0
34,473,33,12,10,2,7,14,0,0
94,485,33,14,9,2,6,15,0,0
96,499,33,11,9,0,8,9,0,0
126,510,33,19,7,2,10,20,0,0
46,529,33,7,6,2,28,9,0,0
95,536,33,27,5,-1,32,20,0,0
45,563,33,15,5,1,23,15,0,0
